OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,NAME,OPERATIONALSTATUS,GENERATIONTYPE,PRIMARYFUELTYPE,GENERATIONMW,GENERATORNUMBER,LOCALITY,STATE,SPATIALCONFIDENCE,X_COORDINATE,Y_COORDINATE
258,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Owen Springs,Operational,Open Cycle Gas Turbine,Natural Gas,36,3,Hugh,Northern Territory,4,133.8254953,-23.8635972
259,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Brewer,Operational,Open Cycle Gas Turbine,Natural Gas,8.5,3,Hugh,Northern Territory,3,133.8281513,-23.8816842
260,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Yulara,Operational,Open Cycle Gas Turbine,Compressed Natural Gas,11,0,Yulara,Northern Territory,5,130.9911896,-25.2322992
261,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Pine Creek,Operational,Spark Ignition Reciprocating Engine,Natural Gas,34.8,6,Pine Creek,Northern Territory,5,131.8623706,-13.7855961
262,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Katherine,Operational,Open Cycle Gas Turbine,Natural Gas,34.7,0,Cossack,Northern Territory,5,132.2445146,-14.4586791
263,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Warrego,Operational,,Natural Gas,19,0,Warumungu,Northern Territory,3,133.8235954,-19.4433792
264,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Condong Sugar Mill,Operational,Steam Subcritical,Biomass,30,1,Condong,New South Wales,5,153.4341159,-28.3137895
265,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Appin (Mine),Operational,Spark Ignition Reciprocating Engine,Natural Gas,55.6,54,Appin,New South Wales,5,150.7721864,-34.2081723
266,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,Bayswater,Operational,Steam Subcritical,Coal,2640,4,Muswellbrook,New South Wales,5,150.9491357,-32.3952573
267,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Bendeela (Shoalhaven Scheme),Operational,Hydroelectric - Pumped Storage,Water,240,4,Kangaroo Valley,New South Wales,5,150.4668754,-34.7336773
268,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Blowering,Operational,Hydroelectric - Gravity,Water,70,1,Wereboldera,New South Wales,5,148.2462777,-35.3985881
269,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Broadwater,Operational,Cogeneration - Steam Subcritical,Biomass,38,2,Broadwater (Richmond Valley),New South Wales,5,153.4334868,-29.0118155
270,Power Station,A facility used for the generation of electrical power for distribution,Renewable,Brown Mountain,Operational,Hydroelectric - Gravity,Water,5,5,Bemboka,New South Wales,5,149.4740475,-36.5950769
